language	1	2	3	4	5	6	7	8	9	10
eng	one	two	three	four	five	six	seven	eight	nine	ten
cmn	一 (yī)	二 (èr)	三 (sān)	四 (sì)	五 (wǔ)	六 (liù)	七 (qī)	八 (bā)	九 (jiǔ)	十 (shí)
hin	एक (ek)	दो (do)	तीन (tīn)	चार (chār)	पाँच (pā̃ca)	छः (chaḥ)	सात (sāta)	आठ (āṭha)	नौ (nau)	दस (dasa)
spa	uno	dos	tres	cuatro	cinco	seis	siete	ocho	nueve	diez
fra	un	deux	trois	quatre	cinq	six	sept	huit	neuf	dix
ara	واحد (wāḥid)	اثنان (ithnān)	ثلاثة (thalāthah)	أربعة (arba'ah)	خمسة (khamsah)	ستة (sittah)	سبعة (sab'ah)	ثمانية (thamāniyah)	تسعة (tis'ah)	عشرة (ʿasharah)
ben	এক (ek)	দুই (dui)	তিন (tin)	চার (char)	পাঁচ (pach)	ছয় (chhoy)	সাত (shat)	আট (at)	নয় (noy)	দশ (dosh)
ptg	um	do	três	quatro	cinco	seis	sete	oito	nove	dez
rus	один (odin)	два (dva)	три (tri)	четыре (chetyre)	пять (pyat')	шесть (shest')	семь (sem')	восемь (vosem')	девять (devyat')	десять (desyat')
urd	ایک (aik)	دو (do)	تین (tin)	چار (char)	پانچ (paanch)	چھ (chh)	سات (saath)	آٹھ (aath)	نو (no)	دس (das)
idn	satu	dua	tiga	empat	lima	enam	tujuh	delapan	sembilan	sepuluh
deu	eins	zwei	drei	vier	fünf	sechs	sieben	acht	neun	zehn
jpn	一 (ichi)	二 (ni)	三 (san)	四 (shi)	五 (go)	六 (roku)	七 (shichi)	八 (hachi)	九 (kyū)	十 (jū)
